Date,Open,High,Low,Close,Adj Close,Volume
2020-12-08,10387.440430,10407.620117,10265.309570,10394.099609,10394.099609,48951200
2020-12-09,10412.839844,10469.150391,10378.519531,10430.019531,10430.019531,43138700
2020-12-10,10462.509766,10485.450195,10375.950195,10395.959961,10395.959961,66197100
2020-12-11,10379.889648,10423.669922,10291.980469,10391.759766,10391.759766,51078000
2020-12-14,10425.099609,10459.769531,10351.759766,10373.030273,10373.030273,49927600
2020-12-15,10359.809570,10391.240234,10319.419922,10341.179688,10341.179688,61571900
2020-12-16,10381.519531,10456.780273,10355.139648,10456.780273,10456.780273,78707400
2020-12-17,10486.030273,10569.700195,10478.500000,10540.360352,10540.360352,62311700
2020-12-18,10543.549805,10594.650391,10518.700195,10523.860352,10523.860352,105808900
2020-12-21,10433.980469,10449.320313,10237.940430,10305.519531,10305.519531,63535700
2020-12-22,10331.980469,10413.959961,10329.990234,10403.370117,10403.370117,37689600
2020-12-23,10402.889648,10439.940430,10376.780273,10411.919922,10411.919922,37571400
2020-12-28,10495.129883,10611.339844,10495.129883,10603.490234,10603.490234,30110000
2020-12-29,10618.709961,10683.839844,10599.809570,10682.040039,10682.040039,34004000
2020-12-30,10701.230469,10749.679688,10685.940430,10703.509766,10703.509766,35196000
2020-12-31,10701.230469,10749.679688,10685.940430,10703.509766,10703.509766,35196000
2021-01-05,10718.650391,10793.599609,10671.280273,10694.089844,10694.089844,55150900
2021-01-06,10674.870117,10759.200195,10620.740234,10747.080078,10747.080078,79431400
2021-01-07,10743.500000,10826.870117,10686.740234,10778.669922,10778.669922,77904600
2021-01-08,10828.530273,10838.860352,10777.410156,10797.990234,10797.990234,66305000
2021-01-11,10807.089844,10883.230469,10750.540039,10870.419922,10870.419922,50282000
2021-01-12,10883.190430,10896.360352,10829.099609,10875.250000,10875.250000,56736900
2021-01-13,10874.290039,10907.089844,10846.879883,10846.879883,10846.879883,47459000
2021-01-14,10847.230469,10891.870117,10809.080078,10850.809570,10850.809570,45420600
2021-01-15,10830.150391,10901.200195,10825.230469,10877.059570,10877.059570,78560900
2021-01-18,10864.990234,10900.940430,10850.570313,10888.540039,10888.540039,33619400
2021-01-19,10927.179688,10944.879883,10869.429688,10876.980469,10876.980469,48243600
2021-01-20,10888.790039,10993.540039,10872.799805,10945.459961,10945.459961,43803000
2021-01-21,10997.849609,11004.440430,10908.709961,10913.110352,10913.110352,41193000
2021-01-22,10997.849609,11004.440430,10908.709961,10913.110352,10913.110352,41193000
2021-01-25,10980.339844,11014.280273,10918.559570,10925.700195,10925.700195,55639400
2021-01-26,10933.879883,11013.809570,10919.910156,10964.049805,10964.049805,70503700
2021-01-27,10921.599609,11000.049805,10832.089844,10904.240234,10904.240234,77861500
2021-01-28,10821.740234,10918.360352,10712.780273,10849.820313,10849.820313,63703300
2021-01-29,10721.160156,10742.860352,10591.059570,10591.059570,10591.059570,70159400
2021-02-01,10666.160156,10751.660156,10650.639648,10740.219727,10740.219727,46901200
2021-02-02,10755.910156,10857.049805,10748.900391,10803.570313,10803.570313,51701500
2021-02-03,10866.509766,10887.509766,10762.830078,10775.679688,10775.679688,46200500
2021-02-04,10739.200195,10866.629883,10731.679688,10860.950195,10860.950195,53655400
2021-02-05,10855.599609,10857.000000,10745.030273,10755.469727,10755.469727,43441300
2021-02-08,10803.969727,10844.110352,10778.830078,10778.830078,10778.830078,44225100
2021-02-09,10757.139648,10817.709961,10735.160156,10803.669922,10803.669922,40861800
2021-02-10,10818.139648,10900.110352,10774.940430,10825.750000,10825.750000,42872800
2021-02-11,10821.780273,10881.169922,10813.000000,10852.910156,10852.910156,33699400
2021-02-12,10836.599609,10890.820313,10816.709961,10880.370117,10880.370117,31203400
2021-02-15,10836.599609,10890.820313,10816.709961,10880.370117,10880.370117,31203400
2021-02-16,10924.599609,10953.419922,10900.179688,10907.599609,10907.599609,40831000
2021-02-17,10924.599609,10953.419922,10900.179688,10907.599609,10907.599609,40831000
2021-02-18,10809.830078,10834.259766,10714.559570,10717.709961,10717.709961,51069500
2021-02-19,10744.370117,10773.769531,10704.750000,10704.750000,10704.750000,60375700
2021-02-22,10632.110352,10716.269531,10610.650391,10697.379883,10697.379883,46867500
2021-02-23,10702.059570,10729.740234,10529.030273,10609.030273,10609.030273,51072400
2021-02-24,10630.589844,10771.250000,10626.769531,10727.700195,10727.700195,59226200
2021-02-25,10745.200195,10746.089844,10656.650391,10658.870117,10658.870117,46972600
2021-02-26,10532.309570,10686.019531,10513.429688,10522.219727,10522.219727,64961800
2021-03-01,10659.259766,10713.410156,10606.080078,10706.589844,10706.589844,47871700
2021-03-02,10713.120117,10855.990234,10704.379883,10817.150391,10817.150391,55409100
2021-03-03,10713.120117,10855.990234,10704.379883,10817.150391,10817.150391,55409100
2021-03-04,10720.230469,10769.379883,10688.309570,10750.089844,10750.089844,54422700
2021-03-05,10657.879883,10691.530273,10607.790039,10607.790039,10607.790039,55107700
2021-03-08,10687.660156,10838.290039,10659.070313,10830.379883,10830.379883,55306400
2021-03-09,10775.070313,10857.969727,10746.709961,10857.969727,10857.969727,53954400
2021-03-10,10801.230469,10933.889648,10788.339844,10909.769531,10909.769531,46792000
2021-03-11,10894.839844,10917.740234,10859.500000,10883.230469,10883.230469,51944900
2021-03-12,10850.389648,10872.209961,10830.280273,10839.929688,10839.929688,49626500
2021-03-15,10858.500000,10905.190430,10842.830078,10867.330078,10867.330078,45830100
2021-03-16,10925.049805,10968.540039,10916.000000,10944.480469,10944.480469,485900
2021-03-17,10934.469727,10947.389648,10881.500000,10922.490234,10922.490234,508800
2021-03-18,10912.750000,10983.230469,10896.410156,10973.759766,10973.759766,68762600
2021-03-19,10915.469727,10975.900391,10891.669922,10967.370117,10967.370117,143857700
2021-03-22,10931.559570,11048.580078,10928.339844,11048.580078,11048.580078,51626500
2021-03-23,11030.889648,11118.330078,11016.209961,11098.660156,11098.660156,48422000
2021-03-24,11048.589844,11106.940430,11033.370117,11063.870117,11063.870117,43812200
2021-03-25,11026.650391,11102.780273,11017.320313,11098.809570,11098.809570,52085500
2021-03-26,11113.900391,11143.860352,11091.629883,11116.809570,11116.809570,46264000
2021-03-29,11127.740234,11132.000000,11058.690430,11089.599609,11089.599609,117373800
2021-03-30,11110.639648,11138.110352,11079.879883,11121.419922,11121.419922,79382900
2021-03-31,11114.889648,11123.259766,11047.019531,11047.370117,11047.370117,76397500
2021-04-01,11102.290039,11141.200195,11080.559570,11118.030273,11118.030273,53530400
2021-04-06,11170.599609,11213.790039,11142.669922,11182.950195,11182.950195,80579800
2021-04-07,11147.370117,11163.339844,11108.330078,11128.179688,11128.179688,53400300
